twitch,rank_A,rank,num_days_chat,num_days_video,followers_03
"citrix_",0,"B",0,0,29
"yatoyogurt",0,"B",0,0,69
"shots____",0,"B",0,0,471
"k4likz",0,"B",0,0,1
"jdpaulblart",0,"B",0,0,5
"theflank_",0,"B",0,0,2
"ihideinplants",0,"B",0,0,54
"ticksc",0,"B",0,0,13
"w1rednp",0,"B",0,0,16
"moonlight916",0,"B",0,0,6
"flowjoey",0,"B",0,0,30
"b1gj03",0,"B",0,0,96
"sniper_central777",0,"B",0,0,117
"fallspirts",0,"B",0,0,-1
"deevo1ac",0,"B",0,0,1
"m2g_tv",0,"B",0,0,-1
"axylus",0,"B",0,0,8
"enterlb",0,"B",0,0,248
"very_classic",0,"B",0,0,4
"jvxt_",0,"B",0,0,10
"soresoul",0,"B",0,0,4
"serene1",0,"B",0,0,10
"de_lem0n",0,"B",0,0,18
"bkoelsch138",0,"B",0,0,-1
"tuulio",0,"B",0,0,1
"lfirztl",0,"B",0,0,5
"pattylovesyou",0,"B",0,0,6
"dire_cs",0,"B",0,0,141
"ogdamon",0,"B",0,0,0
"jqsncs",0,"B",0,0,2
"iowaaa",0,"B",0,0,53
"buzzer285",0,"B",0,0,0
"rynoo",0,"B",0,0,-1
"xelas_",0,"B",0,0,21
"spidarmd",0,"B",0,0,1
"gohotie",0,"B",0,0,149
"storfisk",0,"B",0,4,42
"ablaze___",0,"B",0,2,268
"blunt_af",0,"B",0,1,144
"dicezzz",0,"B",0,2,69
"krappydaklownjunior",0,"B",0,2,76
"hotsaucek2",0,"B",0,1,4
"tannersorensen",0,"B",0,5,430
"arzee_cs",0,"B",0,1,104
"a3har",0,"B",0,2,12
"hayon_tv",0,"B",0,6,46
"rectum_spectrum",0,"B",0,1,75
"tors0_",0,"B",0,1,62
"physifyee",0,"B",0,10,525
"laza413",0,"B",0,1,7
"xtr_nbf",0,"B",0,3,238
"franchiselol",0,"B",0,1,18
"hacking_tv",0,"B",0,3,47
